# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.5-alpha1

ai.<player>, boolean, 00
ai.gbflf, boolean, 01
ai.ithan, boolean, 01
blockbreak, boolean, 01
blockplace, boolean, 01
scoreboard.ithan, boolean, 01
spawn, location, 8605776F726C6480FF0000000181046E616D65208008535552564956414C0178094049BCCA06ECF9C00179094051000000000000017A09406491B670DCC0C00570697463680842B40000037961770842B6B322
tp::ithan, boolean, 01
죽은수.<none>, long, 0000000000000266
죽은수.<player>, long, 0000000000000000
죽은수.chltmdgh123, long, 000000000000002F
죽은수.dkdrlah, long, 0000000000000004
죽은수.dlwlfkfjsh, long, 0000000000000048
죽은수.dvag, long, 0000000000000001
죽은수.ithan, long, 000000000000001E
죽은수.jamki, long, 0000000000000050
죽은수.jamkidasguqlpls, long, 0000000000000009
죽은수.jamkifghjsinfla, long, 0000000000000007
죽은수.tmdghchl, long, 0000000000000021
"죽은수.씨발놈의김채운형 나죽이면dps", long, 0000000000000017

